CLIENTE_ID,NOMBRE,GENERO,EDAD,CIUDAD,FRECUENCIA_COMPRA,PRIMERA_COMPRA,ULTIMA_COMPRA,TIEMPO_CLIENTE_MESES,DIAS_ULTIMA_COMPRA
1,María Ramírez,F,56,Bogotá,15,2023-01-15,2025-06-10,29,5
2,Patricia Arias Daza,F,60,Villavicencio,7,2023-01-02,2025-06-14,29,1
3,Carlos Acosta,M,75,Barranquilla,11,2023-01-02,2025-06-05,29,10
4,Cecilia Muñoz Córdoba,F,28,Villavicencio,4,2023-01-14,2025-05-31,29,15
5,Rosa Pérez,F,57,Cúcuta,3,2023-01-08,2025-06-13,29,2
6,Francisco Cruz Valencia,M,39,Barranquilla,2,2023-01-10,2025-06-10,29,5
7,Juan Alexander Montenegro Gallego,F,41,Ibagué,6,2023-01-06,2025-06-07,29,8
8,Ernesto Jesús Pinzón,F,19,Tunja,1,2023-01-07,2025-06-13,29,2
9,Claudia Dayana Vásquez Romero,F,29,Cartagena,12,2023-01-11,2025-06-14,29,1
10,Jonathan Pérez,M,42,Bogotá,10,2023-01-06,2025-05-31,29,15
11,Carmen Elena Suárez,F,45,Cali,16,2023-01-09,2025-06-08,29,7
12,Yineth Gallego García,F,32,Cúcuta,15,2023-01-21,2025-06-13,29,2
13,Víctor Luis Ojeda Duque,M,79,Bucaramanga,12,2023-01-02,2025-06-14,29,1
14,Steven Óscar Prada,F,72,Cartagena,3,2023-01-05,2025-06-14,29,1
15,Luz Lida Vargas Morales,M,54,Cali,7,2023-01-11,2025-06-15,29,0
16,Esteban Mesa,M,38,Barranquilla,7,2023-01-05,2025-06-09,29,6
17,Alberto Rojas Caicedo,F,35,Bucaramanga,14,2023-01-03,2025-06-04,29,11
18,Fernanda Sara Morales,F,67,Medellín,9,2023-01-08,2025-06-10,29,5
19,Yamile María Pérez Cardona,M,43,Medellín,2,2023-01-05,2025-05-31,29,15
20,Alexander Bernardo López Martínez,F,37,Cúcuta,15,2023-01-15,2025-06-13,29,2
21,Lucía Martha Ríos,M,77,Medellín,12,2023-01-11,2025-05-18,29,28
22,Giovanni César Murcia Medina,F,78,Bucaramanga,15,2023-01-31,2025-06-08,29,7
23,Sandra Arango,F,52,Bucaramanga,17,2023-01-11,2025-06-05,29,10
24,Jesús Patiño,F,53,Tunja,8,2023-01-12,2025-05-21,29,25
25,Luis Castaño Castillo,F,21,Cartagena,6,2023-01-24,2025-05-18,29,28
26,Blanca Correa,F,71,Bogotá,4,2023-01-04,2025-06-08,29,7
27,Deisy Elsy López Gaitán,M,71,Ibagué,18,2023-01-02,2025-06-04,29,11
28,Nora Luz Narváez,F,43,Villavicencio,2,2023-01-18,2025-05-27,29,19
29,María Eugenia Cárdenas,F,27,Medellín,4,2023-01-01,2025-05-27,29,19
30,Diana Fernández Sierra,M,31,Cúcuta,16,2023-01-23,2025-05-24,29,22
31,Omar Julián Patiño Quiroz,F,32,Medellín,14,2023-01-04,2025-06-09,29,6
32,Stella Jenny Ardila,F,40,Villavicencio,8,2023-01-02,2025-06-09,29,6
