cliente_id,nombre,edad,genero,ciudad,frecuencia_compra,ultima_compra
1,María Mariana Parra,56,M,Corozal,12,2024-10-15
2,Alejandro Gutiérrez,69,M,San Bernardo,9,2025-05-21
3,Isabel Rojas Zambrano,46,M,Guapotá,1,2023-08-22
4,Yuliana Ana Medina Herrera,32,F,Sotaquirá,18,2024-04-13
5,Fabián Ardila Uribe,60,F,Ciénega,4,2025-02-19
6,Juan Felipe Acosta,25,M,San Francisco,10,2024-08-09
7,Antonio Muñoz,78,M,Duitama,7,2024-07-31
8,Guillermo Jorge Figueroa Nieto,38,F,Belén de los Andaquíes,1,2024-10-25
9,Ángel Alfredo Ortiz Martínez,56,M,Ricaurte,17,2024-05-30
10,Marlene Yulieth Mejía Benavides,75,M,Barrancominas,2,2024-01-27
11,Katherine Patricia Zapata,36,F,Canalete,11,2025-03-31
12,Ana Alba Restrepo Hurtado,40,M,Rionegro,9,2023-07-05
13,William Lozano Herrera,28,F,Chiriguaná,7,2024-10-02
14,Juan Carmona,28,M,Girardot,17,2023-10-21
15,Felipe López Ortega,41,F,Montelíbano,17,2024-12-31
16,Esther Ramos Valencia,70,M,Obando,2,2024-01-06
17,Mauricio Norberto Moreno Acosta,53,M,Villagarzón,6,2025-04-10
18,José García,57,F,Paratebueno,14,2024-09-17
19,Alexandra Enith Castañeda Cerón,41,M,Flandes,6,2023-07-30
20,Julio Benjamín Cortés,20,F,Carolina,2,2024-08-21
21,Cecilia Viviana Monsalve Osorio,39,M,Barranco de Loba,1,2025-05-08
22,Luis Camilo Blanco,70,F,Pedraza,10,2023-10-13
23,Dario Carlos Granados,19,F,Bagadó,5,2023-09-27
24,Eduardo Julio Gómez,41,F,Soledad,2,2024-04-14
25,Erika Carvajal,61,F,Santa Rosa de Cabal,16,2023-06-22
26,Omar Valencia Salazar,47,M,Orocué,2,2025-04-11
27,Marcela Doris Buitrago,55,M,Gámbita,10,2024-12-27
28,Aurelio Rodríguez Bonilla,19,F,Piamonte,2,2024-05-24
29,Diana María Bermúdez,77,F,Pereira,16,2024-06-13
30,Óscar Barrera,38,F,San Martín,16,2023-10-22
31,Camilo Heriberto Muñoz,50,M,San Pablo de Borbur,19,2023-10-02
32,Diana Nayibe Quintero Giraldo,29,M,Talaigua Nuevo,7,2024-05-04
33,Ignacio Juan Arias Gutiérrez,75,M,San Martín de Loba,12,2023-11-22
34,Sandra Rentería González,39,M,Circasia,15,2024-10-04
35,Stiven Mejía,78,F,Margarita,8,2024-08-21
36,María Leal Arias,61,F,El Calvario,6,2024-03-04
37,José Ramón Garzón,42,F,Sasaima,10,2023-08-17
38,Liliana Méndez Hernández,66,M,Algarrobo,3,2025-02-07
39,Camilo Flórez García,44,M,La Apartada,19,2024-06-17
40,Jairo Daza Álvarez,76,M,Orocué,17,2023-12-12
41,Alfonso Arango Gil,59,F,San Martín,7,2023-08-05
42,José Alzate,45,F,Puerto Leguízamo,4,2024-04-07
43,Elías Jesús Martínez Prieto,77,M,Sutatausa,14,2024-09-06
44,María Cano,33,F,Arbeláez,15,2024-08-08
45,Augusto Carlos Guerrero,32,M,Campamento,8,2025-02-10
46,Fabiola Tatiana Ocampo García,79,M,Aranzazu,15,2023-08-19
47,Daniel Ramos,79,F,Guaitarilla,14,2024-01-19
48,Lina Torres,64,M,San Roque,9,2025-02-07
49,Vanesa Ortiz,79,F,Silos,8,2024-02-25
50,Angélica Jaimes Cáceres,68,M,Silvia,17,2023-07-09
51,Víctor Toro,61,F,Palocabildo,2,2023-08-01
52,Jairo Alarcón,72,F,Prado,3,2025-02-13
53,Isabel Rosa Sierra Reyes,69,F,San Francisco,8,2023-12-30
54,Andrés José Romero Navarro,74,M,Altamira,12,2023-10-11
55,Octavio Alberto Moreno,20,M,San Pablo,1,2025-04-06
56,María Hoyos Navarro,54,F,El Colegio,10,2024-02-01
57,María Sofía Gómez,68,F,Manizales,3,2025-05-24
58,Claudia Diana Garcés Oviedo,24,M,Potosí,6,2024-07-20
59,Nelcy Montoya Vargas,38,M,Silvia,7,2023-08-30
60,Santiago Jairo Rojas Gallego,26,M,Moniquirá,18,2025-02-04
61,Luz Marín Hernández,56,F,Convención,11,2025-01-22
62,Clara Guzmán Reyes,35,M,San José del Guaviare,19,2025-01-17
63,Gerardo Edinson Mena,21,M,Labranzagrande,5,2024-09-02
64,Blanca Jaramillo Moreno,42,F,Onzaga,19,2023-07-12
65,Diana Vanessa Quiroga,77,M,Cucutilla,11,2023-11-14
66,David Hermes Pérez Chaparro,31,M,Puerto Alegría,12,2023-10-29
67,Blanca Becerra,67,M,Chigorodó,10,2023-09-04
68,Liliana Fernández León,75,F,Chíquiza,8,2024-12-07
69,Lorena Montes Palacio,26,F,Guatavita,9,2024-03-11
70,María Córdoba Amaya,43,F,Iza,4,2023-09-25
71,Alejandra Milena Álvarez Cano,70,F,Santa Bárbara,5,2024-09-26
72,Natalia Flor Salas,19,F,Pácora,8,2024-12-28
73,José Betancur Martínez,37,F,Villa Caro,9,2025-04-10
74,Paulina Vargas Giraldo,45,F,Chalán,15,2025-02-07
75,Ana Rosero Rodríguez,64,M,La Pedrera,15,2025-03-27
76,Arturo Enrique Henao,77,M,Bolívar,16,2024-06-19
77,Armando Gómez,24,F,Elías,14,2023-11-27
