id_solicitud,fecha_solicitud,cedula_ciudadania,nombre,apellido,edad,ingresos_anuales,puntaje_crediticio,historial_pagos,deuda_actual,antiguedad_laboral,estado_civil,numero_dependientes,tipo_empleo,solicitud_credito,inicio_mes,inicio_semana
RA-2022010101,2022-01-01,487065766,Jhon,Rivas,52,225883.37,458,Regular,43649.01,27,Divorciado,3,Temporal,0.0,2022-01-01,2021-12-27
RA-2022010118,2022-01-01,441238800,Ana,Lozano,71,217029.29,732,Bueno,5850.26,1,Casado,0,Temporal,1.0,2022-01-01,2021-12-27
RA-2022010117,2022-01-01,843779038,Nidia,Mesa,51,112386.75,448,Bueno,27308.02,14,Viudo,3,Desempleado,0.0,2022-01-01,2021-12-27
RA-2022010116,2022-01-01,232402979,Jesús,Cárdenas,60,242297.94,701,Regular,33692.44,16,Viudo,3,Autonomo,1.0,2022-01-01,2021-12-27
RA-2022010115,2022-01-01,274584158,Carlos,Agudelo,62,203523.49,327,Bueno,14770.02,2,Divorciado,4,Autonomo,0.0,2022-01-01,2021-12-27
RA-2022010114,2022-01-01,157687636,Valeria,Castaño,28,157055.27,698,Regular,49488.51,13,Viudo,3,Autonomo,1.0,2022-01-01,2021-12-27
RA-2022010112,2022-01-01,094982824,Francisco,Bastidas,30,244949.25,553,Malo,13865.35,2,Casado,1,Autonomo,0.0,2022-01-01,2021-12-27
RA-2022010111,2022-01-01,126133687,John,Galvis,43,17625.91,520,Malo,40052.58,34,Divorciado,4,Desempleado,0.0,2022-01-01,2021-12-27
RA-2022010110,2022-01-01,895525718,Pilar,Andrade,21,179903.56,619,Bueno,17021.41,38,Soltero,2,Temporal,0.0,2022-01-01,2021-12-27
RA-2022010113,2022-01-01,317309724,José,Vega,27,38198.27,528,Malo,19574.01,23,Viudo,3,Temporal,0.0,2022-01-01,2021-12-27
RA-2022010108,2022-01-01,465832017,Andrea,Montoya,77,70026.33,715,Bueno,49167.46,30,Soltero,2,Autonomo,0.0,2022-01-01,2021-12-27
